# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
5.0,-0.266342,0,5,16.952286
5.0,-1.744987,0,5,16.968185
4.0,-0.653811,0,4,16.980265
7.0,-1.764808,0,7,17.001549
9.0,-4.10253,0,9,17.028771
7.0,-5.259575,0,7,17.049982
7.0,-4.103587,0,7,17.071011
9.0,-8.334165,0,9,17.098153
5.0,-3.495359,0,5,17.113158
4.0,-3.221607,0,4,17.125478
14.0,-0.445939,0,14,17.174149
7.0,-0.111358,0,7,17.198223
11.0,-13.04841,0,11,17.231615
5.0,-0.017478,0,5,17.248679
4.0,-0.81483,0,4,17.261003
7.0,-0.421718,0,7,17.28414
16.0,-1.416796,0,16,17.338231
7.0,-0.920765,0,7,17.359883
4.0,-2.604005,0,4,17.37249
5.0,-0.064995,0,5,17.389482
6.0,-1.811368,0,6,17.408095
6.0,-4.148306,0,6,18.392584
6.0,-0.079428,0,6,18.411527
12.0,-4.135725,0,12,18.447227
5.0,-1.778354,0,5,18.462263
6.0,-2.049229,0,6,18.480218
4.0,-3.100246,0,4,18.492481
4.0,-0.953288,0,4,18.50464
9.0,-4.409908,0,9,18.531395
6.0,-0.579091,0,6,18.550468
8.0,-8.69555,0,8,18.574661
7.0,-0.297277,0,7,18.599143
4.0,-4.360712,0,4,18.611259
5.0,-2.170036,0,5,18.62621
8.0,-0.083123,0,8,18.65386
4.0,-4.251996,0,4,18.666305
9.0,-3.601927,0,9,18.693226
7.0,-1.212172,0,7,18.713929
4.0,-0.911228,0,4,18.726041
9.0,-2.860926,0,9,18.752563
8.0,-4.109646,0,8,18.776424
5.0,-0.386518,0,5,18.792632
4.0,-0.225162,0,4,18.806654
4.0,-1.894757,0,4,18.819204
4.0,-0.490134,0,4,18.831283
5.0,-4.675181,0,5,18.846979
8.0,-0.117393,0,8,18.87489
7.0,-0.336634,0,7,18.899224
13.0,-0.139145,0,13,18.944464
5.0,-1.558466,0,5,18.960052
4.0,-1.172461,0,4,18.971885
4.0,-2.864448,0,4,18.98383
5.0,-0.481771,0,5,19.000137
11.0,-9.709338,0,11,19.032563
5.0,-5.828485,0,5,19.047418
6.0,-3.669616,0,6,19.0654
7.0,-2.803954,0,7,19.086029
10.0,-10.125921,0,10,19.115851
5.0,-0.650085,0,5,19.131829
8.0,-1.720558,0,8,19.155489
4.0,-1.605339,0,4,19.167544
7.0,-4.677481,0,7,19.188754
7.0,-2.644318,0,7,19.209963
6.0,-0.032389,0,6,19.230404
4.0,-2.112647,0,4,19.243688
6.0,-3.821916,0,6,19.262683
6.0,-0.579097,0,6,19.282793
8.0,-6.249144,0,8,19.306455
4.0,-2.18499,0,4,19.318519
5.0,-3.955591,0,5,19.333483
6.0,-0.20412,0,6,19.3553
8.0,-8.74915,0,8,19.379796
8.0,-1.527468,0,8,19.403301
5.0,-0.025394,0,5,19.420652
5.0,-2.065724,0,5,19.435985
6.0,-0.359643,0,6,19.456391
10.0,-9.430681,0,10,19.485743
6.0,-3.397149,0,6,19.503504
5.0,-0.63793,0,5,19.519552
6.0,-3.160716,0,6,19.537352
4.0,-3.705765,0,4,19.549443
6.0,-1.181343,0,6,19.567045
4.0,-0.499119,0,4,19.5797
5.0,-0.393325,0,5,19.595489
4.0,-0.051474,0,4,19.609344
5.0,-2.370418,0,5,19.624577
8.0,-0.371105,0,8,19.651977
6.0,-0.068166,0,6,19.673326
4.0,-2.314482,0,4,19.68578
10.0,-6.723998,0,10,19.715149
10.0,-0.834334,0,10,19.74823
9.0,-4.727865,0,9,19.774623
6.0,-0.12728,0,6,19.794951
5.0,-0.326516,0,5,19.812508
6.0,-0.043637,0,6,19.833737
11.0,-1.258616,0,11,19.870632
6.0,-0.581714,0,6,19.889657
4.0,-3.186018,0,4,19.902126
7.0,-0.896424,0,7,19.923115
9.0,-0.881874,0,9,19.953563
7.0,-4.884243,0,7,19.974238
4.0,-1.25843,0,4,19.986125
6.0,-5.264512,0,6,20.003768
5.0,-2.618466,0,5,20.018596
7.0,-0.141892,0,7,20.042812
4.0,-1.788133,0,4,20.055767
4.0,-3.696834,0,4,20.067433
8.0,-1.446233,0,8,20.091029
7.0,-0.031702,0,7,20.115244
4.0,-0.013753,0,4,20.12955
7.0,-8.414968,0,7,20.150861
5.0,-0.640273,0,5,20.16568
7.0,-0.110591,0,7,20.190545
7.0,-0.055108,0,7,20.215252
5.0,-1.086231,0,5,20.230705
12.0,-6.046246,0,12,20.265984
12.0,-2.474779,0,12,20.301192
4.0,-0.017599,0,4,20.315309
4.0,-0.100151,0,4,20.329223
4.0,-0.195882,0,4,20.343424
6.0,-0.485098,0,6,20.363699
8.0,-0.060566,0,8,20.391232
12.0,-0.470896,0,12,20.432214
8.0,-1.247453,0,8,20.455844
5.0,-0.357786,0,5,20.472543
7.0,-3.106057,0,7,20.493159
4.0,-2.787693,0,4,20.505219
14.0,-1.50497,0,14,20.548371
4.0,-0.889892,0,4,20.560685
8.0,-6.993032,0,8,20.584291
6.0,-0.084238,0,6,20.604726
6.0,-2.818075,0,6,20.624009
6.0,-5.868277,0,6,20.642563
6.0,-1.814681,0,6,20.660613
